재질,외경_mm,두께_mm,길이_m,무게_kg,생산시간_분,생산단가_원
Stainless Steel 304,254.0,8.56,12.01,632.68,92.32,2864467
Carbon Steel,254.0,4.78,5.95,176.144,43.13,218922
Stainless Steel 304,25.4,3.38,5.959,10.982,40.34,56668
HDPE,76.2,2.11,8.951,4.191,27.68,12859
Stainless Steel 304,25.4,2.77,11.974,19.043,68.34,97811
Stainless Steel 304,25.4,2.77,6.002,9.491,33.76,48885
Galvanized Steel,101.6,3.05,6.039,44.809,35.85,73609
Stainless Steel 304,38.1,1.65,11.986,18.063,62.36,91627
Carbon Steel,101.6,2.11,3.049,15.678,20.58,23033
HDPE,25.4,3.38,5.962,1.337,20.56,6595
Stainless Steel 304,25.4,3.38,5.983,11.283,40.22,57977
Carbon Steel,101.6,2.11,3.006,15.718,19.79,23206
Stainless Steel 316,50.8,2.77,11.961,40.029,68.88,232604
Copper,38.1,1.65,9.026,14.977,42.37,187100
Copper,101.6,2.11,3.037,17.851,24.53,218676
HDPE,152.4,6.35,5.961,16.659,28.26,34341
HDPE,152.4,6.35,6.001,16.375,28.32,34401
Copper,38.1,1.65,11.986,20.129,56.53,250887
Stainless Steel 304,38.1,1.65,9.011,13.531,47.78,69729
Carbon Steel,25.4,2.77,12.005,18.511,46.97,30752
Stainless Steel 304,38.1,2.77,11.997,29.494,64.96,144672
Carbon Steel,50.8,1.65,9.009,18.116,34.47,27978
Stainless Steel 316,25.4,1.65,11.989,11.715,64.1,76377
HDPE,76.2,2.11,6.05,2.788,20.51,8961
Copper,25.4,1.65,9.02,9.961,43.6,127840
HDPE,203.2,3.96,12.011,28.219,42.45,57827
PVC,76.2,2.11,12.021,8.203,33.09,24388
HDPE,76.2,2.11,11.959,5.65,32.53,15640
Carbon Steel,254.0,3.4,9.039,192.23,52.51,241495
Stainless Steel 304,25.4,1.65,11.978,11.808,60.57,63970
Carbon Steel,203.2,2.77,6.041,82.61,38.21,105784
Stainless Steel 304,152.4,6.35,11.987,281.571,85.39,1282272
Copper,25.4,2.77,12.017,20.927,56.44,260770
HDPE,25.4,2.77,12.005,2.219,33.04,9095
Carbon Steel,76.2,3.05,9.0,49.802,43.76,68116
Copper,38.1,2.77,5.994,16.619,32.06,205799
